Row 1 , width 1 , type normal :    4.074580547705031
Row 1 , width 1 , type inverted :    5.972835416535705
Row 1 , width 1 , type stepped :    1.3021031016532558
Row 1 , width 1.25 , type normal :    4.030910857530186
Row 1 , width 1.25 , type inverted :    5.941246087490347
Row 1 , width 1.25 , type stepped :    1.2047167055812125
Row 1 , width 1.5 , type normal :    3.9999153729695696
Row 1 , width 1.5 , type inverted :    5.900196637505008
Row 1 , width 1.5 , type stepped :    1.1402636615108785
Row 1 , width 1.75 , type normal :    3.978077782208352
Row 1 , width 1.75 , type inverted :    5.859370982018195
Row 1 , width 1.75 , type stepped :    1.0976979588323958
Row 1 , width 2 , type normal :    3.961870057544239
Row 1 , width 2 , type inverted :    5.820867454654909
Row 1 , width 2 , type stepped :    1.0693425936664238
Row 1 , width 2.25 , type normal :    3.949874741168877
Row 1 , width 2.25 , type inverted :    5.786174149975499
Row 1 , width 2.25 , type stepped :    1.0498999439635344
Row 1 , width 2.5 , type normal :    3.9418478107719053
Row 1 , width 2.5 , type inverted :    5.755204465245496
Row 1 , width 2.5 , type stepped :    1.0364351052027723
Row 1 , width 2.75 , type normal :    3.9346547061693906
Row 1 , width 2.75 , type inverted :    5.727220874993811
Row 1 , width 2.75 , type stepped :    1.0268761456965774
Row 1 , width 3 , type normal :    3.9301502952729086
Row 1 , width 3 , type inverted :    5.702107979336102
Row 1 , width 3 , type stepped :    1.0197335080984995
Row 1 , width 6.25 , type normal :    0.2278825994498276
Row 1 , width 6.25 , type inverted :    5.516240417517463
Row 1 , width 6.25 , type stepped :    0.4593614489829836
Row 1 , width 7 , type normal :    0.31991586881297207
Row 1 , width 7 , type inverted :    5.493182012910987
Row 1 , width 7 , type stepped :    0.4077767584422186
Row 2 , width 1 , type normal :    3.344338955788069
Row 2 , width 1 , type inverted :    4.422018635703858
Row 2 , width 1 , type stepped :    1.675030997377033
Row 2 , width 1.25 , type normal :    3.3270135785694395
Row 2 , width 1.25 , type inverted :    4.380188053774994
Row 2 , width 1.25 , type stepped :    1.6354242056654638
Row 2 , width 1.5 , type normal :    3.314159842299097
Row 2 , width 1.5 , type inverted :    4.3344114220981576
Row 2 , width 1.5 , type stepped :    1.6129474493458318
Row 2 , width 1.75 , type normal :    3.305213304304208
Row 2 , width 1.75 , type inverted :    4.290680564557715
Row 2 , width 1.75 , type stepped :    1.6004831864004543
Row 2 , width 2 , type normal :    3.2986502564085427
Row 2 , width 2 , type inverted :    4.251968387750077
Row 2 , width 2 , type stepped :    0.12239514009969779
Row 2 , width 2.25 , type normal :    3.294165191260456
Row 2 , width 2.25 , type inverted :    4.217073206280752
Row 2 , width 2.25 , type stepped :    0.26093767460192185
Row 2 , width 2.5 , type normal :    0.02711696168006375
Row 2 , width 2.5 , type inverted :    4.186660758254359
Row 2 , width 2.5 , type stepped :    0.40345729700966637
Row 2 , width 2.75 , type normal :    0.13139326091820608
Row 2 , width 2.75 , type inverted :    4.159977587687607
Row 2 , width 2.75 , type stepped :    0.5468758095883193
Row 2 , width 3 , type normal :    0.23630311738785073
Row 2 , width 3 , type inverted :    4.136149678326216
Row 2 , width 3 , type stepped :    0.6887150818809289
Row 2 , width 6.25 , type normal :    1.3883437645806946
Row 2 , width 6.25 , type inverted :    3.964918043245265
Row 2 , width 6.25 , type stepped :    1.6021762716035437
Row 2 , width 7 , type normal :    1.5913822681448968
Row 2 , width 7 , type inverted :    3.9433162987925807
Row 2 , width 7 , type stepped :    1.6045152227970272
Row 3 , width 1 , type normal :    3.1986795895743194
Row 3 , width 1 , type inverted :    3.841922533254991
Row 3 , width 1 , type stepped :    1.8357004203551168
Row 3 , width 1.25 , type normal :    3.1719376206035195
Row 3 , width 1.25 , type inverted :    1.9087814084385712
Row 3 , width 1.25 , type stepped :    1.8391244779825433
Row 3 , width 1.5 , type normal :    3.152754766359381
Row 3 , width 1.5 , type inverted :    2.468843307563767
Row 3 , width 1.5 , type stepped :    1.849214760841628
Row 3 , width 1.75 , type normal :    3.140144278011375
Row 3 , width 1.75 , type inverted :    3.597902162808797
Row 3 , width 1.75 , type stepped :    1.8590350100997917
Row 3 , width 2 , type normal :    3.1306830938649766
Row 3 , width 2 , type inverted :    3.6321203918811222
Row 3 , width 2 , type stepped :    1.8681609328385491
Row 3 , width 2.25 , type normal :    3.124197713982455
Row 3 , width 2.25 , type inverted :    3.5955171070928067
Row 3 , width 2.25 , type stepped :    1.8765369748909992
Row 3 , width 2.5 , type normal :    3.119954655859871
Row 3 , width 2.5 , type inverted :    3.564822783570195
Row 3 , width 2.5 , type stepped :    1.883065026499485
Row 3 , width 2.75 , type normal :    3.11632371846091
Row 3 , width 2.75 , type inverted :    3.5375397073137145
Row 3 , width 2.75 , type stepped :    1.8893132486287145
Row 3 , width 3 , type normal :    3.1134784037611762
Row 3 , width 3 , type inverted :    3.515168814156832
Row 3 , width 3 , type stepped :    1.8953535895275713
Row 3 , width 6.25 , type normal :    3.102965410960199
Row 3 , width 6.25 , type inverted :    0.7398576269669584
Failed to find max for row 3 width 6.25 type stepped
Row 3 , width 7 , type normal :    3.1020380702899746
Row 3 , width 7 , type inverted :    2.1076654751064403
Row 3 , width 7 , type stepped :    0.19329296879579666
Row 4 , width 1 , type normal :    3.154491525189161
Row 4 , width 1 , type inverted :    4.416602150358802
Row 4 , width 1 , type stepped :    1.3675498317643409
Row 4 , width 1.25 , type normal :    3.1125883423583987
Row 4 , width 1.25 , type inverted :    4.372426923225669
Row 4 , width 1.25 , type stepped :    1.2796613772617427
Row 4 , width 1.5 , type normal :    3.082607151164352
Row 4 , width 1.5 , type inverted :    4.324560179292771
Row 4 , width 1.5 , type stepped :    1.2242456525438743
Row 4 , width 1.75 , type normal :    3.0615182905465392
Row 4 , width 1.75 , type inverted :    4.279549223869969
Failed to find max for row 4 width 1.75 type stepped
Row 4 , width 2 , type normal :    3.046674773133753
Row 4 , width 2 , type inverted :    4.239679461773919
Row 4 , width 2 , type stepped :    0.10898197406137475
Row 4 , width 2.25 , type normal :    0.14147293417296583
Row 4 , width 2.25 , type inverted :    4.203956337831977
Row 4 , width 2.25 , type stepped :    0.4320745133746915
Row 4 , width 2.5 , type normal :    0.28169854697677954
Row 4 , width 2.5 , type inverted :    4.173550129575066
Row 4 , width 2.5 , type stepped :    0.6029779702572328
Row 4 , width 2.75 , type normal :    0.3550849026617422
Row 4 , width 2.75 , type inverted :    4.146192842652294
Row 4 , width 2.75 , type stepped :    0.7663452368960015
Row 4 , width 3 , type normal :    0.5288356884707456
Row 4 , width 3 , type inverted :    4.121744483401139
Row 4 , width 3 , type stepped :    0.9198527491970389
Row 4 , width 6.25 , type normal :    1.6687799801504828
Row 4 , width 6.25 , type inverted :    3.952349304937465
